"state","year","score","median_income","total_pop","poverty_rate","internet_rate","post2020"
"NEW JERSEY",2019,227.189417167925,82545,8706202,0.0998232064911887,0.861137841388618,0
"NEW MEXICO",2019,207.564688511317,49754,2049986,0.191252525627004,0.751983020804897,0
"NEVADA",2019,217.617561606892,60365,2929882,0.131298803159991,0.834734508038398,0
"NEW YORK",2019,219.604193649582,68486,19063180,0.140652136736893,0.831557730558498,0
"OHIO",2019,221.969268954792,56602,11331030,0.140176400556701,0.824062871148873,0
"OKLAHOMA",2019,216.35068432151,52919,3817368,0.156750148269698,0.789508675655936,0
"OREGON",2019,217.71771124627,62818,4052019,0.131669422083164,0.863739793620524,0
"PENNSYLVANIA",2019,223.213382797261,61744,12380284,0.124325338578663,0.820517915119928,0
"RHODE ISLAND",2019,220.193475524749,67167,1016506,0.123782840435767,0.842480553681097,0
"SOUTH CAROLINA",2019,215.981732374201,53199,4877884,0.15204338602558,0.785081342989247,0
"SOUTH DAKOTA",2019,222.004520540202,58275,841207,0.131421873569763,0.811066879212072,0
"TENNESSEE",2019,219.061110000096,53320,6542792,0.152370731027366,0.786622759397095,0
"TEXAS",2019,216.044998438523,61874,27637858,0.147341157914626,0.821446138102223,0
"UTAH",2019,225.148646813036,71621,3048871,0.0979172290333045,0.878813645167925,0
"VIRGINIA",2019,223.641834613407,74222,8201608,0.105551374803575,0.84293654962084,0
"VERMONT",2019,221.825911338781,61973,599618,0.109489708447712,0.822450572820724,0
"WASHINGTON",2019,219.692800380164,73775,7266810,0.108058969479042,0.886780138716667,0
"WISCONSIN",2019,219.704274445441,61747,5642353,0.113278981304431,0.831191405488017,0
"WEST VIRGINIA",2019,213.184518276667,46711,1765715,0.175591191103887,0.764071063426087,0
"WYOMING",2019,226.690277671218,64049,566918,0.10981658723131,0.839366191368138,0
"ALASKA",2022,203.834393388451,86370,717293,0.104876250012199,0.895977698429509,1
"ALABAMA",2022,213.304803954478,59609,4890427,0.157224921259432,0.841014406538551,1
"ARKANSAS",2022,211.952401971433,56335,2931377,0.162288576324369,0.826386411469206,1
"ARIZONA",2022,215.478915088885,72581,7017776,0.130650508081193,0.894018405803874,1
"CALIFORNIA",2022,214.38813409151,91905,38643585,0.121243202461676,0.915898770650434,1
"COLORADO",2022,222.853892245728,87598,5653289,0.0955381902464212,0.919980913450311,1
"CONNECTICUT",2022,219.147978324754,90213,3507563,0.101407159329711,0.902644830107951,1
"DISTRICT OF COLUMBIA",2022,206.753141538805,101722,649184,0.151018817469315,0.89118862517219,1
"DELAWARE",2022,208.301570070164,79325,969075,0.111229780976705,0.905154241645244,1
"FLORIDA",2022,224.739478076644,67917,21171700,0.128739449359286,0.889409765388898,1
"GEORGIA",2022,215.882292250826,71355,10462430,0.135300594603739,0.878892889631039,1
"HAWAII",2022,218.815079671815,94814,1414636,0.0960960982189058,0.899747058312978,1
"IOWA",2022,218.019791217283,70571,3088999,0.111084853054339,0.866387265248163,1
"IDAHO",2022,214.885235432219,70214,1805238,0.11011733632906,0.900453560740564,1
"ILLINOIS",2022,217.777584290905,78433,12478664,0.117632224090656,0.883286396749612,1
"INDIANA",2022,217.363500242914,67173,6589135,0.123036180014524,0.86960147663774,1
"KANSAS",2022,214.682441301693,69747,2848334,0.11581155861637,0.881567251563813,1
"KENTUCKY",2022,216.597654865333,60183,4372749,0.161170467365037,0.858086758140571,1
"LOUISIANA",2022,212.335700553312,57852,4513793,0.186547765925464,0.831280193784046,1
"MASSACHUSETTS",2022,226.803604642226,96505,6772292,0.099281159170337,0.90817458623602,1
"MARYLAND",2022,212.480141744086,98461,6034320,0.0925650280396134,0.907209881783718,1
"MAINE",2022,212.813075931121,68251,1329454,0.109436655950488,0.877496673400302,1
"MICHIGAN",2022,211.841478223351,68505,9845242,0.131349132911106,0.880298898572876,1
"MINNESOTA",2022,215.468384880638,84313,5574039,0.0926229615544491,0.900037497905702,1
"MISSOURI",2022,213.355231570616,65920,5979440,0.128202975529481,0.868056854995517,1
"MISSISSIPPI",2022,217.160500079958,52985,2858819,0.191968781514325,0.801877158826294,1
"MONTANA",2022,218.726121279142,66341,1066145,0.12411913951667,0.871424162624995,1
"NORTH CAROLINA",2022,216.130141000817,66186,10186155,0.133261078395135,0.871201189116717,1
"NORTH DAKOTA",2022,217.53456368653,73959,750776,0.10763530000959,0.86005724320237,1
"NEBRASKA",2022,218.613653639063,71722,1908613,0.103984411716781,0.886631400385636,1
"NEW HAMPSHIRE",2022,222.537287495664,90845,1340074,0.0732511786662528,0.912486516631323,1
"NEW JERSEY",2022,222.728282134377,97126,9081112,0.0968140245379641,0.907220776682425,1
"NEW MEXICO",2022,202.080998079384,58722,2070966,0.182837864069231,0.820106243202945,1
"NEVADA",2022,211.525078548584,71646,3063729,0.127118292773284,0.888791591437786,1
"NEW YORK",2022,213.572630962094,81386,19516967,0.136069400537491,0.883668574610137,1
"OHIO",2022,218.56171629756,66990,11472644,0.133056251026355,0.878135042994875,1
"OKLAHOMA",2022,208.10830835914,61364,3847702,0.152296357670111,0.857937586318087,1
"OREGON",2022,210.314054419297,76632,4149034,0.119101940355273,0.907952760590195,1
"PENNSYLVANIA",2022,218.894472303117,73170,12582125,0.117821035794828,0.874307409688649,1
"RHODE ISLAND",2022,217.261164309337,81370,1051789,0.112221177441483,0.893142133964495,1
"SOUTH CAROLINA",2022,216.388794375541,63623,5002332,0.14350287026131,0.851924659616378,1
"SOUTH DAKOTA",2022,218.067398995857,69457,860878,0.122598091715667,0.870226833949348,1
"TENNESSEE",2022,214.000841671919,64035,6759549,0.139592597080071,0.858996143549151,1
"TEXAS",2022,214.198243688727,73035,28615931,0.139444213784273,0.885193659476293,1
"UTAH",2022,221.085903820864,86833,3231630,0.0851545504900004,0.921266932563306,1
"VIRGINIA",2022,214.035607766354,87249,8379773,0.0998459027470076,0.888715219516466,1
"VERMONT",2022,216.982897590298,74014,620877,0.104270249985102,0.867038042864988,1
"WASHINGTON",2022,216.690692889093,90325,7553642,0.0989639170085106,0.922757304469011,1
"WISCONSIN",2022,217.373606249923,72458,5743164,0.106502443600775,0.881112996642325,1
"WEST VIRGINIA",2022,205.310453431884,55217,1736883,0.168036649561312,0.830073738897268,1
"WYOMING",2022,224.7935690166,72495,564105,0.106600721496884,0.884235296127368,1
"ALASKA",2024,201.593475467698,92788,717914,0.101385402708402,0.920907985347444,1
"ALABAMA",2024,213.209999777534,63999,4944352,0.156210561060378,0.87690305705804,1
"ARKANSAS",2024,209.703975948749,60773,2963029,0.159938697866271,0.868750658174591,1
"ARIZONA",2024,208.095149457954,79964,7220374,0.124848241933174,0.917006555486346,1
"CALIFORNIA",2024,211.742395779622,99122,38582413,0.120061127332808,0.93559284477791,1
"COLORADO",2024,220.919411381867,95470,5743216,0.0943884053812359,0.936560164230917,1
"CONNECTICUT",2024,219.159136069453,95781,3530170,0.100166280943977,0.92321027721622,1
"DISTRICT OF COLUMBIA",2024,209.178441326426,109870,654224,0.154393602191298,0.912783405394911,1
"DELAWARE",2024,209.530546360739,84954,996908,0.10414100398432,0.924895159164059,1
"FLORIDA",2024,218.223941250067,74568,21946166,0.125734809442342,0.917177569260615,1
"GEORGIA",2024,214.358708339384,77353,10679691,0.133900128758407,0.910619222720787,1
"HAWAII",2024,215.793175321881,100389,1408357,0.100401389704457,0.921844318137975,1
"IOWA",2024,214.627071244476,75059,3110597,0.110756552520304,0.891230342317856,1
"IDAHO",2024,215.656201065876,77800,1884157,0.105892980255892,0.92061486244837,1
"ILLINOIS",2024,214.249807124294,83390,12405700,0.118085799269691,0.908891363736633,1
"INDIANA",2024,220.13827410544,71957,6658525,0.123379877675611,0.900321022500294,1
"KANSAS",2024,213.120245284913,74275,2861130,0.112837235637668,0.908238079825563,1
"KENTUCKY",2024,218.031788045287,63726,4409674,0.160628880955826,0.887628281331894,1
"LOUISIANA",2024,215.976174842941,60756,4485706,0.189260508825144,0.866835847028447,1
"MASSACHUSETTS",2024,224.778472538661,103960,6819072,0.100387266771784,0.928988503584506,1
"MARYLAND",2024,215.643199419369,103678,6074976,0.0944887683506898,0.925294803735027,1
"MAINE",2024,209.598296517843,74733,1347527,0.107478365925135,0.905706855293146,1
"MICHIGAN",2024,209.14085321949,72875,9869514,0.132076108306853,0.906812410750842,1
